Date,Location,Habitat,Depth,Interval,Code,Genus,Species,Count
2022-10-07,Turn Rock,Canopy,NA,10-15,PSCH,Psolus,chitonoides,0
2022-10-07,Turn Rock,Canopy,NA,15-20,PSCH,Psolus,chitonoides,1
2022-10-07,Turn Rock,Canopy,NA,20-25,PSCH,Psolus,chitonoides,0
2022-10-07,Turn Rock,Canopy,NA,25-30,PSCH,Psolus,chitonoides,0
2022-10-07,Turn Rock,Canopy,NA,30-35,PSCH,Psolus,chitonoides,4
2022-10-07,Turn Rock,Canopy,NA,35-40,PSCH,Psolus,chitonoides,0
2022-10-07,Turn Rock,Canopy,NA,0-5,CEFO,Ceratostoma,foliatum,0
2022-10-07,Turn Rock,Canopy,NA,5-10,CEFO,Ceratostoma,foliatum,0
2022-10-07,Turn Rock,Canopy,NA,10-15,CEFO,Ceratostoma,foliatum,0
2022-10-07,Turn Rock,Canopy,NA,15-20,CEFO,Ceratostoma,foliatum,1
2022-10-07,Turn Rock,Canopy,NA,20-25,CEFO,Ceratostoma,foliatum,0
2022-10-07,Turn Rock,Canopy,NA,25-30,CEFO,Ceratostoma,foliatum,0
2022-10-07,Turn Rock,Canopy,NA,30-35,CEFO,Ceratostoma,foliatum,1
2022-10-07,Turn Rock,Canopy,NA,35-40,CEFO,Ceratostoma,foliatum,0
